Symbol,Company,Price,change,Percent Change,Market Cap
AAPL,Apple Inc.,261.78,-0.23,-0.09%,16.331M
MSFT,Microsoft Corporation,149.59,+0.11,+0.07%,15.842M
TSM,Taiwan Semiconductor Manufacturing Company Limited,52.79,-0.19,-0.36%,4.172M
INTC,Intel Corporation,57.61,-0.61,-1.05%,15.69M
CSCO,"Cisco Systems, Inc.",44.85,+0.01,+0.02%,18.726M
ORCL,Oracle Corporation,56.39,+0.16,+0.28%,6.347M
SAP,SAP SE,135.41,-0.02,-0.01%,"225,765"
ADBE,Adobe Inc.,299.30,+0.50,+0.17%,1.509M
CRM,"salesforce.com, inc.",162.81,-0.07,-0.04%,3.762M
NVDA,NVIDIA Corporation,210.89,+0.71,+0.34%,5.602M
ACN,Accenture plc,196.66,-0.12,-0.06%,1.118M
AVGO,Broadcom Inc.,314.92,-0.33,-0.10%,1.322M
IBM,International Business Machines Corporation,134.34,+0.50,+0.37%,3.298M
ASML,ASML Holding N.V.,266.22,-0.81,-0.30%,"619,728"
TXN,Texas Instruments Incorporated,117.01,+0.91,+0.78%,3.009M
QCOM,QUALCOMM Incorporated,84.89,-0.22,-0.26%,6.167M
FIS,"Fidelity National Information Services, Inc.",135.46,-1.01,-0.74%,2.298M
SNE,Sony Corporation,61.20,-0.32,-0.52%,"610,906"
VMW,"VMware, Inc.",165.86,+0.16,+0.10%,1.375M
INTU,Intuit Inc.,259.81,-11.34,-4.18%,4.072M
NOW,"ServiceNow, Inc.",279.98,+0.86,+0.31%,2.152M
AMAT,"Applied Materials, Inc.",55.94,-0.50,-0.89%,8.628M
MU,"Micron Technology, Inc.",45.87,+0.32,+0.70%,11.1M
UBER,"Uber Technologies, Inc.",29.56,+0.10,+0.34%,44.384M
AMD,"Advanced Micro Devices, Inc.",39.15,-0.37,-0.94%,56.932M
INFY,Infosys Limited,9.60,-0.27,-2.74%,23.599M
ADI,"Analog Devices, Inc.",110.65,+1.87,+1.72%,1.784M
WDAY,"Workday, Inc.",172.84,+1.33,+0.78%,1.206M
DELL,Dell Technologies Inc.,53.61,-0.10,-0.19%,1.445M
LRCX,Lam Research Corporation,261.98,-1.92,-0.73%,1.274M
ADSK,"Autodesk, Inc.",167.01,+1.96,+1.19%,"899,479"
SHOP,Shopify Inc.,314.52,-1.55,-0.49%,1.127M
CTSH,Cognizant Technology Solutions Corporation,63.19,-0.21,-0.33%,3.049M
NXPI,NXP Semiconductors N.V.,115.22,+0.96,+0.84%,2.336M
TEAM,Atlassian Corporation Plc,125.98,+0.01,+0.01%,"883,272"
TEL,TE Connectivity Ltd.,90.59,-0.26,-0.29%,"817,090"
APH,Amphenol Corporation,101.74,-0.04,-0.04%,"656,464"
ERIC,Telefonaktiebolaget LM Ericsson (publ),9.02,+0.03,+0.33%,2.211M
HPQ,HP Inc.,19.94,+0.29,+1.48%,10.331M
SQ,"Square, Inc.",67.75,+0.33,+0.49%,5.804M
MSI,"Motorola Solutions, Inc.",165.85,+0.79,+0.48%,"706,529"
FLT,"FleetCor Technologies, Inc.",295.18,-0.09,-0.03%,"610,360"
KLAC,KLA Corporation,158.49,-3.10,-1.92%,2.275M
FTV-PA,Fortive Corporation,928.50,+4.46,+0.48%,"2,062"
PANW,"Palo Alto Networks, Inc.",246.87,+0.13,+0.05%,1.131M
FTV,Fortive Corporation,70.70,-0.23,-0.32%,1.327M
XLNX,"Xilinx, Inc.",90.61,+0.15,+0.17%,1.909M
HPE,Hewlett Packard Enterprise Company,17.12,+0.04,+0.23%,6.69M
GLW,Corning Incorporated,29.02,+0.47,+1.65%,4.671M
VRSN,"VeriSign, Inc.",188.44,-0.71,-0.38%,"381,485"
GIB,CGI Inc.,81.45,-0.37,-0.45%,"104,175"
MCHP,Microchip Technology Incorporated,91.66,+0.66,+0.73%,1.204M
SPLK,Splunk Inc.,140.50,+13.66,+10.77%,12.253M
STM,STMicroelectronics N.V.,23.87,+0.18,+0.76%,1.803M
ANSS,"ANSYS, Inc.",246.38,0.00,0.00%,"417,528"
SNPS,"Synopsys, Inc.",135.38,-3.39,-2.44%,1.035M
CDW,CDW Corporation,136.44,-0.77,-0.56%,"629,703"
KEYS,"Keysight Technologies, Inc.",103.66,-2.09,-1.98%,1.858M
CDNS,"Cadence Design Systems, Inc.",67.19,+0.01,+0.01%,1.445M
GRMN,Garmin Ltd.,97.20,-0.88,-0.90%,"750,885"
CHKP,Check Point Software Technologies Ltd.,117.12,+0.85,+0.73%,"655,725"
FTNT,"Fortinet, Inc.",103.81,+0.79,+0.77%,1.5M
MRVL,Marvell Technology Group Ltd.,25.99,-0.15,-0.57%,3.544M
SWKS,"Skyworks Solutions, Inc.",97.84,+1.43,+1.48%,1.721M
STX,Seagate Technology plc,59.28,-0.20,-0.34%,1.496M
PAYC,"Paycom Software, Inc.",263.31,+1.85,+0.71%,"618,567"
OKTA,"Okta, Inc.",127.67,-0.21,-0.16%,1.22M
NLOK,NortonLifeLock Inc.,24.51,+0.07,+0.31%,3.284M
SSNC,"SS&C Technologies Holdings, Inc.",59.94,+0.04,+0.07%,1.114M
MXIM,"Maxim Integrated Products, Inc.",55.29,+0.36,+0.66%,1.863M
ANET,"Arista Networks, Inc.",194.49,+2.49,+1.30%,"940,641"
CTXS,"Citrix Systems, Inc.",113.75,+0.51,+0.45%,1.8M
RNG,"RingCentral, Inc.",168.88,-0.87,-0.51%,"749,746"
WDC,Western Digital Corporation,48.46,+0.62,+1.30%,2.941M
AKAM,"Akamai Technologies, Inc.",87.97,+0.40,+0.46%,1.371M
IT,"Gartner, Inc.",157.00,-1.06,-0.67%,"436,404"
NTAP,"NetApp, Inc.",61.23,+0.53,+0.87%,2.502M
BR,"Broadridge Financial Solutions, Inc.",121.20,-0.15,-0.12%,"415,531"
LYFT,"Lyft, Inc.",46.46,-0.30,-0.64%,6.246M
ZBRA,Zebra Technologies Corporation,243.57,+0.95,+0.39%,"474,988"
TDY,Teledyne Technologies Incorporated,349.76,+3.44,+0.99%,"359,929"
UI,Ubiquiti Inc.,193.73,-0.59,-0.30%,"159,703"
LDOS,"Leidos Holdings, Inc.",88.50,-1.55,-1.72%,1.135M
DOCU,"DocuSign, Inc.",71.12,+1.18,+1.69%,2.035M
